latitude;longitude;heat_capacity_J_per_K
-21.0;27.0;4.533328e+19
-21.0;33.0;1.6162674318399996e+20
-21.0;39.0;1.1672231601280001e+21
-21.0;45.0;4.14736045408e+20
-21.0;51.0;1.0851336567040001e+21
-21.0;57.0;1.1729238200880001e+21
-21.0;63.0;1.185465272e+21
-21.0;69.0;1.185465272e+21
-21.0;75.0;1.185465272e+21
-21.0;81.0;1.185465272e+21
-21.0;87.0;1.185465272e+21
-21.0;93.0;1.185465272e+21
-21.0;99.0;1.185465272e+21
-21.0;105.0;1.185465272e+21
-21.0;111.0;1.1695034241119998e+21
-21.0;117.0;5.9259663616e+20
-21.0;123.0;1.3996423533600001e+20
-21.0;129.0;4.533328e+19
-21.0;135.0;4.533328e+19
-21.0;141.0;4.533328e+19
-21.0;147.0;3.1440443011200005e+20
-21.0;153.0;1.137579728336e+21
-21.0;159.0;1.185465272e+21
-21.0;165.0;1.13415933236e+21
-21.0;171.0;1.17976461204e+21
-21.0;177.0;1.1752040840719999e+21
-15.0;-177.0;1.183185008016e+21
-15.0;-171.0;1.177484348056e+21
-15.0;-165.0;1.185465272e+21
-15.0;-159.0;1.185465272e+21
-15.0;-153.0;1.184325140008e+21
-15.0;-147.0;1.1820448760239998e+21
-15.0;-141.0;1.185465272e+21
-15.0;-135.0;1.185465272e+21
-15.0;-129.0;1.185465272e+21
-15.0;-123.0;1.185465272e+21
-15.0;-117.0;1.185465272e+21
-15.0;-111.0;1.185465272e+21
-15.0;-105.0;1.185465272e+21
-15.0;-99.0;1.185465272e+21
-15.0;-93.0;1.185465272e+21
-15.0;-87.0;1.185465272e+21
-15.0;-81.0;1.185465272e+21
-15.0;-75.0;6.50743367752e+20
-15.0;-69.0;8.7518163704e+19
-15.0;-63.0;4.7613543984e+19
