latitude,longitude,water_frac,soil_frac,ice_frac
33.0,33.0,68.0,32.0,0.0
33.0,39.0,0.0,100.0,0.0
33.0,45.0,1.2,98.8,0.0
33.0,51.0,0.7,99.3,0.0
33.0,57.0,0.0,100.0,0.0
33.0,63.0,0.0,100.0,0.0
33.0,69.0,0.0,100.0,0.0
33.0,75.0,0.1,99.9,0.0
33.0,81.0,1.2,98.8,0.0
33.0,87.0,2.5,97.5,0.0
33.0,93.0,1.5,98.5,0.0
33.0,99.0,0.2,99.8,0.0
33.0,105.0,0.0,100.0,0.0
33.0,111.0,0.0,100.0,0.0
33.0,117.0,4.6,95.4,0.0
33.0,123.0,87.0,13.0,0.0
33.0,129.0,76.7,23.3,0.0
33.0,135.0,73.3,26.7,0.0
33.0,141.0,93.1,6.9,0.0
33.0,147.0,100.0,0.0,0.0
33.0,153.0,100.0,0.0,0.0
33.0,159.0,100.0,0.0,0.0
33.0,165.0,100.0,0.0,0.0
33.0,171.0,100.0,0.0,0.0
33.0,177.0,100.0,0.0,0.0
27.0,-177.0,100.0,0.0,0.0
27.0,-171.0,100.0,0.0,0.0
27.0,-165.0,100.0,0.0,0.0
27.0,-159.0,100.0,0.0,0.0
27.0,-153.0,100.0,0.0,0.0
27.0,-147.0,100.0,0.0,0.0
27.0,-141.0,100.0,0.0,0.0
27.0,-135.0,100.0,0.0,0.0
27.0,-129.0,100.0,0.0,0.0
27.0,-123.0,100.0,0.0,0.0
27.0,-117.0,94.9,5.1,0.0
27.0,-111.0,46.0,54.0,0.0
27.0,-105.0,1.0,99.0,0.0
27.0,-99.0,17.7,82.3,0.0
27.0,-93.0,90.5,9.5,0.0
27.0,-87.0,98.2,1.8,0.0
27.0,-81.0,74.1,25.9,0.0
27.0,-75.0,98.7,1.3,0.0
27.0,-69.0,100.0,0.0,0.0
27.0,-63.0,100.0,0.0,0.0
27.0,-57.0,100.0,0.0,0.0
27.0,-51.0,100.0,0.0,0.0
27.0,-45.0,100.0,0.0,0.0
27.0,-39.0,100.0,0.0,0.0
27.0,-33.0,100.0,0.0,0.0
27.0,-27.0,100.0,0.0,0.0
27.0,-21.0,100.0,0.0,0.0
27.0,-15.0,73.1,26.9,0.0
27.0,-9.0,7.2,92.8,0.0
27.0,-3.0,0.0,100.0,0.0
27.0,3.0,0.0,100.0,0.0
27.0,9.0,0.0,100.0,0.0
27.0,15.0,0.0,100.0,0.0
27.0,21.0,0.0,100.0,0.0
27.0,27.0,0.0,100.0,0.0
27.0,33.0,19.0,81.0,0.0
27.0,39.0,7.6,92.4,0.0
27.0,45.0,0.1,99.9,0.0
27.0,51.0,47.9,52.1,0.0
27.0,57.0,28.5,71.5,0.0
27.0,63.0,21.0,79.0,0.0
27.0,69.0,4.6,95.4,0.0
27.0,75.0,0.1,99.9,0.0
27.0,81.0,0.1,99.9,0.0
27.0,87.0,0.7,99.3,0.0
27.0,93.0,0.3,99.7,0.0
27.0,99.0,0.1,99.9,0.0
27.0,105.0,0.1,99.9,0.0
27.0,111.0,0.4,99.6,0.0
27.0,117.0,7.9,92.1,0.0
27.0,123.0,85.0,15.0,0.0
27.0,129.0,99.3,0.7,0.0
27.0,135.0,100.0,0.0,0.0
27.0,141.0,100.0,0.0,0.0
27.0,147.0,100.0,0.0,0.0
27.0,153.0,100.0,0.0,0.0
27.0,159.0,100.0,0.0,0.0
27.0,165.0,100.0,0.0,0.0
27.0,171.0,100.0,0.0,0.0
27.0,177.0,100.0,0.0,0.0
21.0,-177.0,100.0,0.0,0.0
21.0,-171.0,100.0,0.0,0.0
21.0,-165.0,100.0,0.0,0.0
21.0,-159.0,98.4,1.6,0.0
21.0,-153.0,97.5,2.5,0.0
21.0,-147.0,100.0,0.0,0.0
21.0,-141.0,100.0,0.0,0.0
21.0,-135.0,100.0,0.0,0.0
21.0,-129.0,100.0,0.0,0.0
21.0,-123.0,100.0,0.0,0.0
21.0,-117.0,100.0,0.0,0.0
21.0,-111.0,97.6,2.4,0.0
21.0,-105.0,45.3,54.7,0.0
21.0,-99.0,18.0,82.0,0.0
21.0,-93.0,86.6,13.4,0.0
